search_term,video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
xbox series x,/watch?v=0tUqIHwHDEc&pp=ygUNeGJveCBzZXJpZXMgeA%3D%3D,/@xbox,Xbox,Xbox Series X - World Premiere - 4K Trailer,18M views,6 years ago,Introducing the new Xbox Series X*. Power Your Dreams. Coming Holiday 2020. Learn more at: ...,2026-01-22 06:41:25.018524
xbox series x,/watch?v=VkEkl5MkuuY&pp=ygUNeGJveCBzZXJpZXMgeA%3D%3D,/@Vermax,Vermax,PS5 Pro vs XBOX Series X in 2025…,134K views,2 months ago,My NEW Mousepads - https://elevateculture.co/ My NEW Mousepads - https://elevateculture.co/ My NEW Mousepads ...,2026-01-22 06:41:25.019703
xbox series x,/watch?v=one8B501Iyw&pp=ygUNeGJveCBzZXJpZXMgeA%3D%3D,/@IGN,IGN,7 Things to Do First With Your Xbox Series X,1.1M views,5 years ago,"Before you immediately hop into gaming on your new Xbox Series x or Xbox Series S, consider doing these 7 things with your ...",2026-01-22 06:41:25.021161
xbox series x,/watch?v=mF9kjOKW5hs&pp=ygUNeGJveCBzZXJpZXMgeA%3D%3D,/@XboxReady,Xbox Ready,This week's HUGE Xbox announcement!,25K views,2 days ago,IT'S HAPPENING. Get your New Xbox here Series X: https://amzn.to/3XtkMuz Series S: https://amzn.to/4d9fpXw Game Pass ...,2026-01-22 06:41:25.022348
xbox series x,/watch?v=df2mUcgFj2M&pp=ygUNeGJveCBzZXJpZXMgeA%3D%3D,/@Skycaptin5,Skycaptin5,Xbox Series X: 5 Years Later [The State of Xbox],5.4K views,3 weeks ago,"Xbox Series X: 5 Years Later of the next generation console from Microsoft, going over the gameplay, features, loading and ...",2026-01-22 06:41:25.024077
xbox series x,/watch?v=5WJSUoBOJSo&pp=ygUNeGJveCBzZXJpZXMgeA%3D%3D,/@MinimalisTech,MinimalisTech,Living With the Xbox Series X | Gaming in Your 30s & Slowing Down,28K views,11 days ago,"If you're looking for a serious Herman Miller alternative at a fraction of the price, this is definitely it! The E3 Pro is top-tier for ...",2026-01-22 06:41:25.025567
xbox series x,/watch?v=MozL4pLMlgE&pp=ygUNeGJveCBzZXJpZXMgeA%3D%3D,/@whatchamacall,whatchamacall,"Xbox Series X In 2025, Is It Worth $729?",15K views,6 months ago,In this video we are going to be talking about if the the Xbox Series X worth it in 2025? #xboxseriesx #xbox #isitworthit #tech ...,2026-01-22 06:41:25.026545
xbox series x,/watch?v=G4NsqVwUCFA&pp=ygUNeGJveCBzZXJpZXMgeA%3D%3D,/@Odeboo,Odeboo,Is The Xbox Series X STILL Worth It in 2026?,5.2K views,11 days ago,"With Game Pass, fewer exclusives, and more games going cross-plattform, the Xbox Series X is in a weird spot in 2026. Console ...",2026-01-22 06:41:25.028070
xbox series x,/watch?v=AtYu4vzUAAM&pp=ygUNeGJveCBzZXJpZXMgeA%3D%3D,/@MinimalisTech,MinimalisTech,Xbox Series X in 2025 | It Didn't Have to be THIS Good..,139K views,5 months ago,Be sure to checkout Hostinger Horizon here! - http://hostinger.com/minimalistech (code MINIMALISTECH) My Xbox Series X ...,2026-01-22 06:41:25.030083
xbox series x,/watch?v=SW7bpujoqPo&pp=ygUNeGJveCBzZXJpZXMgeA%3D%3D,/@IGN,IGN,Xbox Series X Review,1.5M views,5 years ago,Ryan McCaffrey reviews Microsoft's Xbox Series X console. Find out why it is a fantastic package of laser-targeted gaming power.,2026-01-22 06:41:25.031640
xbox series x,/watch?v=nyPvurDBG3g&pp=ygUNeGJveCBzZXJpZXMgeA%3D%3D,/@Odeboo,Odeboo,Xbox Series X VS Xbox One X in 2025 - I Was Surprised...,369K views,1 year ago,"With the Xbox Series X and Xbox One X dropping in prices as we come closer to the next generation, which one is better in 2025?",2026-01-22 06:41:25.033177
xbox series x,/watch?v=Y1mDrYKHBMo&pp=ygUNeGJveCBzZXJpZXMgeA%3D%3D,/@austinevans,Austin Evans,Should You Buy an Xbox in 2025?,452K views,10 months ago,Chapter Titles: 0:00 Intro 0:50 Xbox Series S 4:31 Xbox Series X 7:55 Series S Gameplay 8:45 Series X Gameplay 10:12 The ...,2026-01-22 06:41:25.034325
xbox series x,/watch?v=b0Jqi5UM--w&pp=ygUNeGJveCBzZXJpZXMgeA%3D%3D,/@SimpleAlpaca,Simple Alpaca,Xbox Series X In 2025! (Still Worth Buying?) (Review),27K views,11 months ago,Get The Xbox Series X Here: https://amzn.to/419LETH Get The Cheapest iPhones Here: https://amzn.to/3JTnWAr Get The ...,2026-01-22 06:41:25.035558
xbox series x,/watch?v=HhgCiMhVd5A&pp=ygUNeGJveCBzZXJpZXMgeA%3D%3D,/@BenRowlands,Ben Rowlands,Before You Buy: Xbox Series X: Digital Edition Review (2025),135K views,1 year ago,NEW Xbox Series X: Digital Edition! This is the NEW Xbox Series X: Digital Edition! With Xbox updates and new features!,2026-01-22 06:41:25.036857
xbox series x,/watch?v=QEKPCE44zAM&pp=ygUNeGJveCBzZXJpZXMgeA%3D%3D,/@GamingBolt,GamingBolt,"5 Years Later, Xbox Series X | S Might Not Be Worth It Anymore..",17K views,1 month ago,"The Xbox Series X and S marked a new chapter for Microsoft's iconic console brand, and the beginning of a fresh new rivalry with ...",2026-01-22 06:41:32.020213
xbox series x,/watch?v=ypJydLPV4_0&pp=ygUNeGJveCBzZXJpZXMgeA%3D%3D,/@GamingBolt,GamingBolt,Top 30 Best Xbox Series X | S Games of All Time [2025 Edition],65K views,2 months ago,Microsoft may have shot itself in the foot over and over again this year – don't even get me started on this generation – but man ...,2026-01-22 06:41:32.021030
xbox series x,/watch?v=TX618N2QMIs&pp=ygUNeGJveCBzZXJpZXMgeA%3D%3D,/@Vermax,Vermax,PS5 Pro vs Xbox Series X…,429K views,11 months ago,"Which one would you take? Jesus Is King   ""Let us not become weary in doing good, for at the proper time we will reap a harvest ...",2026-01-22 06:41:32.021824
xbox series x,/watch?v=6dFULbB4KaU&pp=ygUNeGJveCBzZXJpZXMgeA%3D%3D,/@ZackLillipad,ZackLillipad,Xbox Series X/S: How NOT to Save a Console,243K views,3 months ago,"Thanks for Watching! I STREAM HERE: twitch.tv/ZackLillipad Well, you all knew it was coming. This is probably my most ...",2026-01-22 06:41:32.022562
xbox series x,/watch?v=IMI-TV-Arzo&pp=ygUNeGJveCBzZXJpZXMgeA%3D%3D,/@bestchoicereview,Best Choice Review,PS5 Pro Vs Xbox Series X - Tough Call But We Have A Clear Winner!,48K views,11 months ago,PS5 Pro Vs Xbox Series X - Tough Call But We Have A Clear Winner! ▷ Links to the gaming console listed in this video: ➜ 2.,2026-01-22 06:41:32.023284
xbox series x,/watch?v=XoKWwurDL_c&pp=ygUNeGJveCBzZXJpZXMgeA%3D%3D,/@gameranxTV,gameranx,Xbox Series X - Before You Buy [4K],1.4M views,5 years ago,The Xbox Series X release date is right around the corner. We've been using one for about three weeks. Here's our verdict so far.,2026-01-22 06:41:32.024629
