search_term,video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
nintendo switch 2,/watch?v=sg_gBWeg9H0&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@WulffDen,WULFF DEN,We can now fully customize the Nintendo Switch 2 with shell mods,118K views,3 months ago,Get 20% off your Belkin Travel Case with code WULFFDEN20 through Sunday 10/5 at 11:59pm PST: https://glnk.io/7kzn0/6l1 ...,2026-01-22 06:42:21.112025
nintendo switch 2,/watch?v=BJ87zu76vhs&pp=ygURbmludGVuZG8gc3dpdGNoIDLSBwkJhwoBhyohjO8%3D,/@EmSwizzle,EmSwizzle,$1 vs. $500 Nintendo Switch 2 Accessory!,1.3M views,5 months ago,These are actually WILD! Second Channel @MaxCorbett Podcast Channel @TheMarioMatter ⭐ Become a Channel ...,2026-01-22 06:42:21.112759
nintendo switch 2,/watch?v=AUl4Qirx7Xo&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@juliakcrist,julia k crist,"the *ultimate* NINTENDO SWITCH 2 UNBOXING & SET UP! 🌟 decorating my switch, mario kart world, + MORE",104K views,7 months ago,"today's the day!! after 8 years, there's a new nintendo switch! today we are unboxing and setting up the new nintendo switch 2. i ...",2026-01-22 06:42:21.113772
nintendo switch 2,/watch?v=4vPQdifxvRE&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@BeatEmUps,BeatEmUps,Nintendo Switch 2 Games Holiday Buying Guide & What To AVOID!,265K views,1 month ago,What Nintendo Switch 2 Games are Worth Buying this Christmas and Holiday Season 2025? | GRAB MY BEATEMUPS GRIP FOR ...,2026-01-22 06:42:21.114731
nintendo switch 2,/watch?v=5i74Bxc9pN0&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@RussVandy,Russ Vandy,I Tested Nintendo Switch 2 on EVERY Form Of Transportation,100K views,5 months ago,Where do you play your Switch 2? CUKTECH 15SE: https://s.whaee.com/LYs8goG #cuktech #cuktech15se #cuktechpowerbank ...,2026-01-22 06:42:21.115353
nintendo switch 2,/watch?v=6Za0oGoz_Zs&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@EmSwizzle,EmSwizzle,50 Ways To Use A Nintendo Switch 2!,92K views,4 days ago,I regret doing most of these... my Switch 2 is now broken :) Shop EmSwizzle MERCH! ➡️ https://emswizzle.shop/ ...,2026-01-22 06:42:21.116094
nintendo switch 2,/watch?v=D43jo7mDTvQ&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@BeatEmUps,BeatEmUps,10 Nintendo Switch 2 Games That Are WORTH The Price & 5 That ARE NOT!,385K views,3 months ago,"Is the Nintendo Switch 2 really worth buying? Are Nintendo Switch 2 games worth the price? Is Mario Kart World, Pokemon Z-A, ...",2026-01-22 06:42:21.116827
nintendo switch 2,/watch?v=OiemHh8jXnU&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@naseemspeach,Naseem Speach,Why I REGRET Buying The Nintendo Switch 2 (Honest Thoughts...),311K views,7 months ago,"In this video, I will be giving an in-depth analysis on why I regret buying the Nintendo Switch 2 on launch day. I will also be ...",2026-01-22 06:42:21.117767
nintendo switch 2,/watch?v=t1E6tPre8ng&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@Playeressence,PlayerEssence,Nintendo Switch 2 Gets VERY Interesting in 2026...,10K views,3 days ago,"Nintendo Switch 2 in 2026 is getting bigger, let's discuss what we could see. ▷ Subscribe to the channel: ...",2026-01-22 06:42:21.118723
nintendo switch 2,/watch?v=VrTVeYm4iIM&pp=ygURbmludGVuZG8gc3dpdGNoIDLSBwkJhwoBhyohjO8%3D,/@NintendoAmerica,Nintendo of America,Nintendo Direct: Nintendo Switch 2 – 4.2.2025,7M views,9 months ago,Join us for a closer look at Nintendo Switch 2 in the Nintendo Direct: Nintendo Switch 2 – 4.2.2025 presentation. Learn more: ...,2026-01-22 06:42:30.230620
nintendo switch 2,/watch?v=7nODHyw3lgs&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@NintendoAmerica,Nintendo of America,Animal Crossing: New Horizons – Nintendo Switch 2 Edition & Free Update – Announcement Trailer,3.3M views,2 months ago,"The Animal Crossing: New Horizons – Nintendo Switch 2 Edition game and a free update to the base game launch January 15, ...",2026-01-22 06:42:30.231699
nintendo switch 2,/watch?v=iAY9WgTKCP0&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@SunbroNation,Sunbro Nation,13 NEW Nintendo Switch 2 Games Worth Buying!,22K views,2 weeks ago,nintendoswitch2 ​​​#nintendoswitchonline ​#nintendo #switch2 Join me as we discuss all the newest Nintendo Switch 2 news ...,2026-01-22 06:42:30.233276
nintendo switch 2,/watch?v=xaDDjoEcNeg&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@Playeressence,PlayerEssence,BIG Donkey Kong Returns & Kingdom Hearts Switch 2 Updates!,5K views,18 hours ago,"Big news on Kingdom Hearts for Nintendo Switch 2, the upcoming Nintendo Direct and free updates for the Switch 2!",2026-01-22 06:42:30.235122
nintendo switch 2,/watch?v=kPydwoeJGgU&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@switchrank,SwitchRank,TOP 10 BEST 10/10 OPEN WORLD GAMES on Nintendo Switch & Switch 2,1.5K views,11 hours ago,"TOP 10 BEST 10/10 OPEN WORLD GAMES on Nintendo Switch & Switch 2 Hi switch lovers! In this video, we examine both the ...",2026-01-22 06:42:30.236693
nintendo switch 2,/watch?v=mfPFHzxpM_E&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@RussVandy,Russ Vandy,I Played Animal Crossing On Nintendo Switch 2...,15K views,1 day ago,"Tom Nook forced me to buy the Nintendo Switch 2 edition of Animal Crossing: New Horizons... so, how is it? Check out ...",2026-01-22 06:42:30.237939
nintendo switch 2,/watch?v=h-3CHi_7i3A&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@Playeressence,PlayerEssence,BIG Switch 2 & Next Nintendo Direct Update!,11K views,1 day ago,"New Nintendo Switch 2 updates detailing Switch 2 sales numbers in Japan for 2025, the next rumored Nintendo Direct and ...",2026-01-22 06:42:30.239385
nintendo switch 2,/watch?v=UG0psxn_cWc&pp=ygURbmludGVuZG8gc3dpdGNoIDLSBwkJhwoBhyohjO8%3D,/@nintendolife,Nintendo Life,Final Fantasy VII Remake Intergrade Nintendo Switch 2 Review - Is It Worth It?,46K views,19 hours ago,Living in a Materia world Review written by Alana Hagues: ...,2026-01-22 06:42:30.240406
nintendo switch 2,/watch?v=LpYvfUBf848&pp=ygURbmludGVuZG8gc3dpdGNoIDLSBwkJhwoBhyohjO8%3D,/@MinimalisTech,MinimalisTech,Living With the Switch 2 | Gaming in Your 30s & Slowing Down,82K views,1 month ago,Check out the Meraki Espresso Machine below! BY FAR one of the best pieces of tech in 2025. They also have 10-20% site wide ...,2026-01-22 06:42:30.241845
nintendo switch 2,/watch?v=QlM6sI07Imk&pp=ygURbmludGVuZG8gc3dpdGNoIDLSBwkJhwoBhyohjO8%3D,/@switchrank,SwitchRank,TOP 15 NEW Nintendo Switch & Switch 2 Games Coming in November 2025,70K views,2 months ago,November 2025 is packed with amazing releases for Nintendo Switch and Switch 2 players. From epic adventures like Hyrule ...,2026-01-22 06:42:30.243512
