search_term,video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
nintendo switch 2,/watch?v=AnojtyrALcA&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@ScottsStash,Scott's Stash,Thoughts on the Nintendo Switch 2 So Far,651K views,4 months ago,Use code STASHFB50 to get 50% OFF plus free breakfast for 1 year at https://bit.ly/47xPcmn! Just an excuse to talk about Drag x ...,2026-01-22 06:42:13.872203
nintendo switch 2,/watch?v=oO94ycDPtjM&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@RetroGameCorps,Retro Game Corps,Nintendo Switch 2: Six Months Later,269K views,1 month ago,"The Switch 2 has been out for six months, so let's do a progress report -- what is good and bad about the hardware, what games I ...",2026-01-22 06:42:13.873804
nintendo switch 2,/watch?v=I1cgzTDoliU&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@SpawnWave,Spawn Wave,Nintendo Issues A Surprise Switch 2 Update & Sony Makes A Strange Move | News Wave,65K views,17 hours ago,Yesterday Nintendo announced another free update for the Switch 2 and Sony announced a new partnership that left people ...,2026-01-22 06:42:13.875513
nintendo switch 2,/watch?v=wViMeOKMYQc&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@SwitchTop,SwitchTop,TOP 25 NEW UPCOMING Nintendo Switch and Switch 2 Games in 2026,30K views,3 weeks ago,TOP 25 NEW UPCOMING Nintendo Switch and Switch 2 Games in 2026 The future of Nintendo Switch is looking AMAZING!,2026-01-22 06:42:13.877064
nintendo switch 2,/watch?v=-Njsla-C1bI&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@RussVandy,Russ Vandy,The ULTIMATE Nintendo Switch 2 Holiday Buying Guide!,110K views,2 months ago,All links for products are below!   The holiday season is here! It's the Nintendo Switch 2's FIRST holiday. I'll cover the best ...,2026-01-22 06:42:13.878628
nintendo switch 2,/watch?v=Fxb0fMJ34s0&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@WulffDen,WULFF DEN,The First Things to do with your Brand New Nintendo Switch 2,190K views,4 weeks ago,Check out the LTTstore Percision Screwdriver at https://lmg.gg/WulffDenTCSD Just got a Switch 2? Here's a couple of things you ...,2026-01-22 06:42:13.880199
nintendo switch 2,/watch?v=GkS4lc50fNg&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@DigitalFoundry,Digital Foundry,Inside Assassin's Creed Shadows on Switch 2: The Making Of An Impossible Port,84K views,6 days ago,Digital Foundry is now fully independent! Join the DF Supporter Program and support the team: https://bit.ly/3jEGjvx Ubisoft has ...,2026-01-22 06:42:13.881711
nintendo switch 2,/watch?v=dOXpI5QdnXw&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@NintenDeen,NintenDeen,The Nintendo Switch 2 is CONFUSING,13K views,11 hours ago,Patreon https://www.patreon.com/Nintendeen OR YouTube Membership ...,2026-01-22 06:42:13.882886
nintendo switch 2,/watch?v=9YZyH5dZL4Y&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@DionMedia,Dion Schuddeboom,Switch 2 - First 20 Things To Do! (Tips & Tricks),200K views,5 months ago,Switch 2 (US) - https://amzn.to/4f22qJs Switch 2 (UK) - https://amzn.to/4lKr8kj Today I will be showing you the first 20 things you ...,2026-01-22 06:42:13.884435
nintendo switch 2,/watch?v=UCaAT_ZJhFg&pp=ygURbmludGVuZG8gc3dpdGNoIDLSBwkJhwoBhyohjO8%3D,/@Alpharad,Alpharad,The Switch 2 is Here,1M views,7 months ago,"From 2017 to 2025, the Nintendo Switch had a powerful reign. Obviously, one very important to my channel. Thank you for ...",2026-01-22 06:42:13.885971
