search_term,video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
playstation 5,/watch?v=PkaLrahSuf0&pp=ygUNcGxheXN0YXRpb24gNQ%3D%3D,/@91Tech,91Tech,PlayStation 5 in 2025 - worth it? (Review),464K views,1 year ago,"UPDATED REVIEW! https://youtu.be/_i9iJXRco-w Fast approaching 5 years old, the PlayStation 5 is now as popular as ever with ...",2026-01-22 06:40:41.726252
playstation 5,/watch?v=kSVUWYx3UHQ&pp=ygUNcGxheXN0YXRpb24gNQ%3D%3D,/@PlayStation,PlayStation,PS5 Games - Stunning Visuals,1M views,4 years ago,Marvel at incredible graphics and experience new PS5™ features. https://www.playstation.com/en-us/ps5/games/,2026-01-22 06:40:41.727370
playstation 5,/watch?v=lk1MpVeOhBw&pp=ygUNcGxheXN0YXRpb24gNQ%3D%3D,/@PlayStation,PlayStation,PlayStation 5 - Play Like Never Before,3.2M views,3 years ago,Discover how games are brought to life with the power of the PS5™ Console. Experience next gen immersion with stunning ...,2026-01-22 06:40:41.728305
playstation 5,/watch?v=_i9iJXRco-w&pp=ygUNcGxheXN0YXRpb24gNQ%3D%3D,/@91Tech,91Tech,PlayStation 5 in 2026 - worth it? (Review),20K views,6 days ago,"Nearly 6 years since it launched, the PlayStation 5 starts at $500 and is already one of the most popular video game consoles of ...",2026-01-22 06:40:41.729693
playstation 5,/watch?v=JJPTx_l5xz8&pp=ygUNcGxheXN0YXRpb24gNdIHCQmHCgGHKiGM7w%3D%3D,/@tcmfgamesofficial,TCMFGamesOFFICIAL,PLAYSTATION 5 - NEW PS5 MAJOR UPDATE 13.0 - PSSR 2 | FSR 4 !? / PS3 ON PS5 NEWS / CLASSIC GAMES ON …,22K views,2 days ago,Channel Topics * PSSR 2.0 Release Date * FSR 4 PS5 Pro Update * PS5 System Update * Far Cry 3 60fps update PS5 * Play ...,2026-01-22 06:40:41.731774
playstation 5,/watch?v=j-fM_4Oy2hg&pp=ygUNcGxheXN0YXRpb24gNQ%3D%3D,/@MysticRyan,Mystic,PlayStation 5 Review 5 Years Later: An Excellent Identity Crisis,63K views,1 month ago,We've had PS5 for just over five years now and it's time to reflect on how Sony has done with their latest console so far.,2026-01-22 06:40:41.733187
playstation 5,/watch?v=5oPZ2JILstU&pp=ygUNcGxheXN0YXRpb24gNdIHCQmHCgGHKiGM7w%3D%3D,/@austinevans,Austin Evans,The Problem with the PS5...,746K views,2 months ago,The PS5 is 5 years old and has been wildly successful by the numbers...but did Sony actually deliver on what they promised back ...,2026-01-22 06:40:41.734168
playstation 5,/watch?v=Kk3oxSQ_UwM&pp=ygUNcGxheXN0YXRpb24gNdIHCQmHCgGHKiGM7w%3D%3D,/@austinevans,Austin Evans,The New PS5 Pro is...Better?,776K views,3 months ago,Subscribe for more! https://www.youtube.com/austinevans Check out our @thisis channel! https://www.youtube.com/thisis As well ...,2026-01-22 06:40:41.737538
playstation 5,/watch?v=pmzfmoe7Jmw&pp=ygUNcGxheXN0YXRpb24gNdIHCQmHCgGHKiGM7w%3D%3D,/@PlayStation,PlayStation,PlayStation 5 Pro Console - Launch Trailer,497K views,1 year ago,https://www.playstation.com/en-us/ps5/ps5-pro/ PlayStation®5 Pro Console - Available Now Witness Play Unleashed™ With the ...,2026-01-22 06:40:41.738580
playstation 5,/watch?v=LVykVs5-zaI&pp=ygUNcGxheXN0YXRpb24gNQ%3D%3D,/@IGN,IGN,PlayStation 5 - Official 'Upcoming Games in 2026' Trailer,912K views,1 month ago,"Check out the 'Upcoming Games in 2026' Trailer for PlayStation 5, the latest gaming console developed by Sony. Players on PS5 ...",2026-01-22 06:40:41.739464
